,Step,Value
0,0,335.32061767578125
1,1,333.6580352783203
2,2,320.32923736572263
3,3,312.81512771606447
4,4,304.44815657043455
5,5,299.9486656204224
6,6,295.47323265213015
7,7,298.54570613984686
8,8,298.79014675633096
9,9,293.8892189337252
10,10,294.4588724798058
11,11,301.9941436790908
12,12,297.36931427211925
13,13,293.42352359197764
14,14,294.9520116868814
15,15,294.97252707092764
16,16,293.89921540387394
17,17,294.9426312658303
18,18,300.23822409627854
19,19,293.8091251973929
20,20,292.04399636905987
21,21,289.8198671178961
22,22,285.492412266458
23,23,289.6562050974294
24,24,294.30332262479584
25,25,294.2744704648553
26,26,294.91732981485416
27,27,295.78159048571246
28,28,289.7234067179029
29,29,286.5640726379095
30,30,278.4625359795873
31,31,278.3934277673707
32,32,279.4869066459071
33,33,283.21695743639447
34,34,288.14853928064565
35,35,282.25469823099905
36,36,283.1969865866101
37,37,286.24795748361316
38,38,284.96126293154094
39,39,284.24077445576967
40,40,281.90377281585677
41,41,286.63924697470077
42,42,285.10974305359787
43,43,284.8260880841756
44,44,287.12478115564085
45,45,282.2599592900768
46,46,284.5107486393894
47,47,290.52238129498176
48,48,287.77345432271017
49,49,290.90964343633755
50,50,286.6507668002233
51,51,290.8390501055526
52,52,292.00244734109106
53,53,292.12243881303664
54,54,293.59933372567826
55,55,290.5753653189308
56,56,290.2500217802018
57,57,290.67712836683006
58,58,286.1385247220416
59,59,276.8818133631187
60,60,268.688697334424
61,61,260.4398044076222
62,62,261.5931964033834
63,63,253.4399634940021
64,64,249.66617741071514
65,65,244.29249790206552
66,66,238.07372021879257
67,67,232.841044547011
68,68,228.46505166457553
69,69,222.6885477188211
70,70,216.17960963395072
71,71,211.68220683705957
72,72,213.9528533408536
73,73,208.9413891127253
74,74,210.37526686405042
75,75,205.74908508731335
76,76,197.93307168966598
77,77,188.93095638471306
78,78,183.868878812648
79,79,180.01886684691056
80,80,176.17998370225857
81,81,173.70150101806786
82,82,171.4103136237806
83,83,166.38486224797484
84,84,165.18443754661484
85,85,160.870190721885
86,86,158.57760066580977
87,87,156.436634422471
88,88,152.93520196777274
89,89,151.97180414648375
90,90,156.9595633070307
91,91,161.27098765259714
92,92,158.29360812561868
93,93,156.71046008161147
94,94,155.12399659298157
95,95,160.91112238534356
96,96,163.22313972444593
97,97,162.06755854008728
98,98,163.8442118047309
99,99,172.4923330436914
100,100,167.68379645563084
101,101,172.18282098487245
102,102,177.54467194302583
103,103,184.7227639528248
104,104,188.807442513597
105,105,196.88695522024514
106,106,198.99332805759562
107,107,199.43501850623056
108,108,203.71091057650594
109,109,209.54609698467564
110,110,214.71271531355183
111,111,215.6353280595404
112,112,219.51370504362544
113,113,223.6362084406301
114,114,226.94198151746554
115,115,226.97171982812134
116,116,226.9824106993131
117,117,226.56696839647165
118,118,231.60850764080885
119,119,235.14167237965765
120,120,229.67821925302002
121,121,234.7459350474446
122,122,234.8562734885009
123,123,236.04459786084223
124,124,237.16912061870332
125,125,236.4799627682588
126,126,231.28815850803448
127,127,228.00473755469196
128,128,229.10223132851962
129,129,233.00871046617547
130,130,232.79405920715558
131,131,236.02828548858847
132,132,241.33136819461242
133,133,234.11955705874493
134,134,236.16675357455014
135,135,240.4452930608451
136,136,250.07446370593246
137,137,247.98938519422592
138,138,244.2053087353502
139,139,242.90811617968626
140,140,242.38747515497937
141,141,241.04581473664942
142,142,239.60555363651963
143,143,239.13865366837547
144,144,234.86532022292465
145,145,236.7157022631322
146,146,241.61473750556897
147,147,236.64285726087144
148,148,243.50847265783116
149,149,238.6423498183176
150,150,236.94267019537256
151,151,230.61824417925328
152,152,227.53253975644515
